@relation training_keyboard_practica2-weka.filters.unsupervised.attribute.Remove-R34-64-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R32

@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}

@data
161,6,6,5.39,-21.8,East,False,1,1,11,4,13,7,25,16,False,True,True,True,3,0,7,8,29,11,4,False,False,False,False,False
160,7,6,5,-36.87,East,False,1,1,11,3,13,7,25,16,False,True,True,True,3,0,7,7,27,11,3,False,False,False,False,False
159,8,6,3.61,-33.69,East,False,1,1,11,4,14,7,24,16,False,True,True,True,3,0,5,7,27,11,4,False,False,False,False,False
158,8,5,3.61,-33.69,South,False,1,1,11,3,14,6,25,16,False,True,True,True,3,0,5,7,29,11,3,False,False,False,False,False
157,8,4,3.16,-18.43,South,False,1,1,11,3,14,6,25,17,False,True,True,True,3,0,4,8,31,11,3,False,False,True,False,True
156,8,3,3,0,South,False,1,1,11,3,14,7,25,18,False,True,True,True,3,0,3,10,31,11,3,False,False,False,False,False
155,9,3,1,0,East,False,1,1,10,3,14,7,24,18,False,True,True,True,3,0,1,9,30,10,3,False,True,False,False,True
354,10,3,5.66,45,East,False,1,1,3,1,14,7,24,18,False,False,True,True,2,0,0,8,30,14,7,False,False,False,False,False
353,11,3,5,53.13,East,True,1,1,3,1,14,7,25,18,False,False,True,True,2,0,0,7,28,14,7,False,False,False,False,False
352,11,3,4.24,45,East,False,1,1,3,1,14,6,24,18,False,False,True,True,2,0,0,6,29,14,6,False,False,False,False,False
351,11,4,3.61,33.69,North,False,1,1,3,1,14,6,25,18,False,False,True,True,2,0,0,5,27,14,6,False,False,False,False,False
350,11,5,3,0,North,False,1,1,3,1,14,5,25,17,False,False,True,True,2,0,0,3,26,14,5,False,False,False,False,False
349,11,6,3,0,North,False,1,1,3,1,14,6,25,17,False,False,True,True,2,0,0,3,24,14,6,False,False,False,False,False
348,11,7,3.16,-18.43,North,False,1,1,3,1,14,6,25,16,False,False,True,True,2,0,0,4,24,14,6,False,False,True,False,True
347,11,8,3.16,-18.43,North,False,1,1,3,1,14,7,25,17,False,False,True,True,2,0,0,4,22,14,7,False,False,True,False,True
346,11,9,2.83,-45,North,False,1,1,3,1,13,7,25,16,False,False,True,True,2,0,0,4,20,13,7,False,False,False,False,False
345,11,10,2.83,-45,North,False,1,1,3,1,13,8,25,15,False,False,True,True,2,0,0,4,18,13,8,False,False,False,False,False
344,11,11,4.47,-63.43,North,False,1,1,3,1,13,7,24,15,False,False,True,True,2,0,0,6,18,13,7,False,False,False,False,False
343,11,12,4.47,-63.43,North,False,1,1,3,1,13,8,24,16,False,False,True,True,2,0,0,6,16,13,8,False,False,False,False,False
342,12,12,5.1,-78.69,East,False,1,1,3,1,13,7,23,16,False,False,True,True,2,0,0,6,16,13,7,False,True,False,False,True
341,13,12,5,-90,East,False,1,1,3,1,13,7,24,16,False,False,True,True,2,0,0,5,15,13,7,False,False,False,False,False
340,13,11,4.12,-75.96,South,False,1,1,3,1,14,7,24,16,False,False,True,True,2,0,0,5,15,14,7,False,True,False,False,True
339,13,10,3,-90,South,False,1,1,3,1,13,7,24,15,False,False,True,True,2,0,0,3,16,13,7,False,False,False,False,False
338,13,9,2.24,-63.43,South,False,1,1,3,1,14,7,24,15,False,False,True,True,2,0,0,3,18,14,7,False,True,False,False,True
337,13,8,1,0,South,False,1,1,3,1,14,8,25,15,False,False,True,True,2,0,0,1,18,14,8,False,True,False,False,True
336,13,7,2.24,63.43,South,False,1,1,3,1,14,9,25,14,False,False,True,True,2,0,0,3,20,14,9,False,True,False,False,True
335,13,6,3,90,South,False,1,1,3,1,13,9,25,15,False,False,True,True,2,0,0,3,20,13,9,False,False,False,False,False
334,13,5,4.12,75.96,South,False,1,1,3,1,14,9,25,14,False,False,True,True,2,0,0,5,21,14,9,False,True,False,False,True
333,13,6,3,90,North,False,1,1,3,1,13,9,25,14,False,False,True,True,2,0,0,3,19,13,9,False,False,False,False,False
332,13,7,2.24,63.43,North,False,1,1,3,1,14,9,24,14,False,False,True,True,2,0,0,3,18,14,9,False,True,False,False,True
331,13,8,1.41,45,North,False,1,1,3,1,14,9,24,14,False,False,True,True,2,0,0,2,17,14,9,False,True,False,False,True
530,13,9,12.08,24.44,North,False,1,1,3,1,5,1,24,14,False,False,False,True,1,0,0,0,15,24,14,False,False,False,False,False
529,13,10,10.77,21.8,North,False,1,1,3,1,5,1,23,14,False,False,False,True,1,0,0,0,14,23,14,False,False,False,False,False
528,13,11,10.44,16.7,North,False,1,1,3,1,5,1,23,14,False,False,False,True,1,0,0,0,12,23,14,False,False,False,False,False
527,14,11,8.54,20.56,East,False,1,1,3,1,5,1,22,14,False,False,False,True,1,0,0,0,10,22,14,False,False,False,False,False
526,15,11,7.28,15.95,East,False,1,1,3,1,5,1,22,13,False,False,False,True,1,0,0,0,10,22,13,False,False,False,False,False
525,16,11,7.28,15.95,East,False,1,1,3,1,5,1,23,13,False,False,False,True,1,0,0,0,8,23,13,False,False,False,False,False
524,17,11,5.39,21.8,East,False,1,1,3,1,5,1,22,13,False,False,False,True,1,0,0,0,7,22,13,False,False,False,False,False
523,18,11,4.47,26.57,East,False,1,1,3,1,5,1,22,13,False,False,False,True,1,0,0,0,7,22,13,False,False,False,False,False
522,19,11,4.47,26.57,East,False,1,1,3,1,5,1,23,13,False,False,False,True,1,0,0,0,5,23,13,False,False,False,False,False
521,20,11,2.83,45,East,False,1,1,3,1,5,1,22,13,False,False,False,True,1,0,0,0,5,22,13,False,False,False,False,False
520,20,12,2.83,45,North,False,1,1,3,1,5,1,22,14,False,False,False,True,1,0,0,0,3,22,14,False,False,False,False,False
519,20,13,2,0,North,False,1,1,3,1,5,1,22,13,False,False,False,True,1,0,0,0,2,22,13,False,False,False,False,False
518,20,14,2.24,-26.57,North,False,1,1,3,1,5,1,22,13,False,False,False,True,1,0,0,0,2,22,13,False,False,True,False,True
517,20,15,2.24,-26.57,North,False,1,1,3,1,5,1,22,14,False,False,False,True,1,0,0,0,2,22,14,False,False,True,False,True
0,4,12,8.6,-35.54,Stop,True,9,3,11,7,19,12,22,9,True,True,True,True,4,14,12,15,21,11,7,False,False,False,False,False
-1,4,12,8.06,-29.74,Stop,True,9,3,11,8,20,12,22,9,True,True,True,True,4,14,11,16,22,11,8,False,False,False,False,False
-2,4,12,8.06,-29.74,Stop,True,8,3,11,8,21,12,22,8,True,True,True,True,4,13,11,17,23,11,8,False,False,False,False,False
-3,4,12,7.21,-33.69,Stop,True,9,3,10,8,20,12,23,8,True,True,True,True,4,14,10,16,22,10,8,False,False,False,False,False
-4,4,12,7.21,-33.69,Stop,False,10,3,10,8,19,12,23,9,True,True,True,True,4,15,10,15,21,10,8,False,False,False,False,False
-5,5,12,7.21,-33.69,East,False,10,3,11,8,20,12,23,10,True,True,True,True,4,14,10,15,20,11,8,False,False,False,False,False
-6,6,12,6.4,-38.66,East,False,9,3,11,8,20,11,23,10,True,True,True,True,4,12,9,15,20,11,8,False,False,False,False,False
-7,6,11,5.39,-21.8,South,False,10,3,11,9,21,11,23,9,True,True,True,True,4,12,7,15,19,11,9,False,False,False,False,False
-8,6,10,5.39,-21.8,South,False,10,3,11,8,21,11,23,9,True,True,True,True,4,11,7,16,19,11,8,False,False,False,False,False
-9,6,9,4.12,-14.04,South,False,9,3,10,8,21,12,23,8,True,True,True,True,4,9,5,18,17,10,8,False,False,True,False,True
-10,7,9,3,0,East,False,10,3,10,9,22,12,23,9,True,True,True,True,4,9,3,18,16,10,9,False,False,False,False,False
-11,8,9,2,0,East,False,9,3,10,9,22,11,23,9,True,True,True,True,4,7,2,16,15,10,9,False,False,False,False,False
-12,9,9,2,0,East,False,10,3,11,9,22,12,23,9,True,True,True,True,4,7,2,16,15,11,9,False,False,False,False,False
-13,9,8,1.41,45,South,False,11,3,10,9,22,12,23,8,True,True,True,True,4,7,2,17,14,10,9,False,True,False,False,True
-14,9,7,1.41,45,South,False,11,3,10,8,23,12,23,8,True,True,True,True,4,6,2,19,14,10,8,False,True,False,False,True
-15,9,6,2.24,63.43,South,False,11,3,10,8,23,12,22,8,True,True,True,True,4,5,3,20,16,10,8,False,True,False,False,True
-16,9,5,2.24,-26.57,South,False,11,4,10,9,23,12,22,9,True,True,True,True,4,3,5,21,18,11,4,False,False,True,False,True
