@relation training_keyboard_practica2
@attribute diff numeric
@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}
@attribute action {Stop, East, West, North, South}
@attribute NEW_totalScore numeric
@attribute NEW_POSx numeric
@attribute NEW_POSy numeric
@attribute NEW_module numeric
@attribute NEW_angle numeric
@attribute NEW_direction {Stop,East,West,North,South}
@attribute NEW_wall_ahead {True,False}
@attribute NEW_G1_POSX numeric
@attribute NEW_G1_POSY numeric
@attribute NEW_G2_POSX numeric
@attribute NEW_G2_POSY numeric
@attribute NEW_G3_POSX numeric
@attribute NEW_G3_POSY numeric
@attribute NEW_G4_POSX numeric
@attribute NEW_G4_POSY numeric
@attribute NEW_ALIVE_G1 {True,False}
@attribute NEW_ALIVE_G2 {True,False}
@attribute NEW_ALIVE_G3 {True,False}
@attribute NEW_ALIVE_G4 {True,False}
@attribute NEW_ghost_count numeric
@attribute NEW_G1_DIST numeric
@attribute NEW_G2_DIST numeric
@attribute NEW_G3_DIST numeric
@attribute NEW_G4_DIST numeric
@attribute NEW_closest_posX numeric
@attribute NEW_closest_posY numeric
@attribute NEW_G1_CLOSE {True,False}
@attribute NEW_G2_CLOSE {True,False}
@attribute NEW_G3_CLOSE {True,False}
@attribute NEW_G4_CLOSE {True,False}
@attribute NEW_ghost_is_close {True,False}

@data
-1,-14,1,14,5.83,-59.04,South,False,4,9,11,6,16,6,25,17,True,True,True,True,4,8,18,23,28,4,9,False,False,False,False,False,South,-15,1,13,5.66,-45.0,South,False,5,9,11,7,15,6,25,18,True,True,True,True,4,8,16,21,28,5,9,False,False,False,False,False
-1,-15,1,13,5.66,-45.0,South,False,5,9,11,7,15,6,25,18,True,True,True,True,4,8,16,21,28,5,9,False,False,False,False,False,South,-16,1,12,5.0,-36.87,South,False,5,9,11,7,16,6,25,17,True,True,True,True,4,7,15,21,28,5,9,False,False,False,False,False
-1,-16,1,12,5.0,-36.87,South,False,5,9,11,7,16,6,25,17,True,True,True,True,4,7,15,21,28,5,9,False,False,False,False,False,South,-17,1,11,5.0,-36.87,South,False,5,8,11,7,15,6,25,16,True,True,True,True,4,7,14,19,29,5,8,False,False,False,False,False
-1,-17,1,11,5.0,-36.87,South,False,5,8,11,7,15,6,25,16,True,True,True,True,4,7,14,19,29,5,8,False,False,False,False,False,South,-18,1,10,4.12,-14.04,South,False,5,9,11,8,14,6,25,16,True,True,True,True,4,5,12,17,30,5,9,False,False,True,False,True
-1,-18,1,10,4.12,-14.04,South,False,5,9,11,8,14,6,25,16,True,True,True,True,4,5,12,17,30,5,9,False,False,True,False,True,South,-19,1,9,3.0,0.0,South,False,4,9,11,8,15,6,25,16,True,True,True,True,4,3,11,17,31,4,9,False,False,False,False,False
-1,-19,1,9,3.0,0.0,South,False,4,9,11,8,15,6,25,16,True,True,True,True,4,3,11,17,31,4,9,False,False,False,False,False,South,-20,1,8,3.16,18.43,South,False,4,9,11,7,14,6,25,16,True,True,True,True,4,4,11,15,31,4,9,False,False,False,False,False
-1,-20,1,8,3.16,18.43,South,False,4,9,11,7,14,6,25,16,True,True,True,True,4,4,11,15,31,4,9,False,False,False,False,False,South,-21,1,7,4.47,26.57,South,False,5,9,11,7,14,6,24,16,True,True,True,True,4,6,10,14,32,5,9,False,False,False,False,False
-1,-21,1,7,4.47,26.57,South,False,5,9,11,7,14,6,24,16,True,True,True,True,4,6,10,14,32,5,9,False,False,False,False,False,South,-22,1,6,4.47,26.57,South,False,5,8,11,7,14,6,24,16,True,True,True,True,4,6,11,13,34,5,8,False,False,False,False,False
-1,-22,1,6,4.47,26.57,South,False,5,8,11,7,14,6,24,16,True,True,True,True,4,6,11,13,34,5,8,False,False,False,False,False,East,-23,2,6,2.83,45.0,East,False,4,8,11,8,15,6,25,16,True,True,True,True,4,4,11,13,32,4,8,False,False,False,False,False
-1,-23,2,6,2.83,45.0,East,False,4,8,11,8,15,6,25,16,True,True,True,True,4,4,11,13,32,4,8,False,False,False,False,False,East,-24,3,6,2.0,90.0,East,False,3,8,10,8,14,6,25,15,True,True,True,True,4,2,9,11,32,3,8,False,False,False,False,False
